time_period,parse_lane_name(vehicle_lane),min(vehicle_HC),max(vehicle_HC),avg(vehicle_HC),stddev(vehicle_HC)
0.0,652510531,0.0,6.71,0.8448387096774194,1.6645777662172911
1.0,250920326,0.0,8.47,1.155617021276597,1.4538002495593942
1.0,11031663,0.0,9.25,3.0993150684931505,3.2695664547659677
1.0,1137831792,0.0,6.78,0.48538461538461547,1.316517317073287
1.0,168914460,0.0,6.81,1.6166666666666667,2.416755612863595
1.0,298744689,0.0,6.9,0.9192307692307692,1.959407916850237
1.0,175509064,0.0,7.83,2.46625,3.0525738427132914
1.0,299502759,0.0,11.79,2.287126436781609,3.19289598303606
1.0,8212395769,0.0,5.39,1.4108333333333334,2.3396987309299355
1.0,51102926,0.0,3.21,0.6765000000000001,0.6995432720523329
1.0,31620108,0.0,7.49,0.7087719298245616,1.6913910908051801
0.0,31621981,0.0,0.65,0.41857142857142854,0.287484989256168
0.0,101521215,0.0,0.38,0.05416666666666667,0.10849870827327714
0.0,32015499,0.0,8.72,1.8976267748478544,2.2764109907113093
0.0,687830223,0.0,7.6,1.4438095238095237,2.3501601610440948
0.0,251136130,0.0,5.34,0.8233333333333334,1.6615009529538847
0.0,250691668,0.0,11.02,1.7838356164383558,3.0273565798385276
0.0,286070639,0.0,11.5,3.4109615384615393,3.449179646493615
0.0,660260257,0.0,0.94,0.6535714285714287,0.292958572625423
0.0,251144930,0.0,13.18,2.425,5.270964807319435
1.0,1003125434,0.0,11.41,2.761538461538462,4.2034516090784555
1.0,355613605,0.0,2.02,0.615625,0.4521352120770954
1.0,760071188,0.0,9.91,0.6814851485148514,2.1432127221247144
1.0,359095748,0.0,7.31,3.4273913043478266,2.9538160486076066
1.0,360079267,0.27,8.82,2.08375,2.966611703610703
1.0,299656748,0.0,8.39,2.449090909090909,3.6084857060696653
1.0,166102331,0.0,0.74,0.458,0.3208599556054185
1.0,2426934202,0.0,8.89,2.9633333333333334,5.132643893095773
1.0,250713287,0.0,0.0,0.0,
0.0,1033862865,0.0,6.71,1.603,2.405079610124056
0.0,803870831,0.0,8.28,1.8056603773584903,2.731843213652054
0.0,702078729,0.0,13.12,6.116597938144328,4.2242716055053835
0.0,838111477,0.0,7.81,1.9671875,2.571114022860205
0.0,251144049,0.0,0.14,0.07,0.09899494936611666
0.0,907161584,0.0,0.89,0.28222222222222226,0.3461133404600933
0.0,251136322,0.0,8.98,2.0790410958904117,2.616413386415571
0.0,664511606,0.0,9.51,3.027377049180327,3.269762938216034
0.0,298298663,0.0,10.35,3.235121951219512,3.562319554694118
0.0,763490838,0.0,12.21,2.0948148148148147,3.899595886533237
0.0,64094578,0.0,9.16,1.7253651938683436,2.377876972489632
0.0,10976958,0.0,1.02,0.3277777777777778,0.3308521290745026
0.0,2511789010,0.0,0.81,0.5712,0.28742129357443236
0.0,355613135,0.0,0.59,0.295,0.417193000900063
1.0,311408820,0.0,9.99,3.1103348554033405,2.514293143142253
1.0,482987489,0.0,10.75,1.2585123239436609,1.8796521812066584
1.0,10976420,0.0,7.67,1.1083333333333336,1.916553463769581
1.0,364104830,0.0,6.04,1.4628571428571429,1.9106442443771237
1.0,662180431,0.0,10.33,3.383173652694611,3.358461786794334
1.0,359095745,0.0,7.92,2.9693750000000003,2.9288916074834686
1.0,824855321,0.0,8.0,2.584782608695652,3.2793608988853817
1.0,767329069,0.0,7.52,1.3614285714285717,2.4332657926298182
1.0,49747751,0.0,9.12,2.001420118343194,2.4894090907676114
1.0,359093585,0.0,11.09,2.036923076923077,3.137362929889711
1.0,304829205,0.0,10.15,1.6920000000000002,2.586065311066882
1.0,250756985,0.0,8.77,1.5250000000000001,2.0508319246129316
1.0,712030315,0.0,6.89,1.4184090909090907,2.2839635272787073
1.0,251144772,0.58,10.91,2.37875,3.482800340858734
1.0,95663472,0.23,1.4,0.812857142857143,0.5210794656516504
1.0,5062598102,0.0,0.0,0.0,
1.0,285118922,0.0,6.82,2.722608695652174,2.671392584387579
1.0,651939720,0.0,7.0,2.315,3.455996238423879
0.0,359094245,0.0,0.77,0.3233333333333333,0.3262266229537521
0.0,5519180248,0.0,6.79,1.3322222222222222,2.4349696351665266
0.0,68612577,0.0,0.81,0.3408333333333333,0.39912309182035866
0.0,353746845,0.0,6.95,1.8450000000000002,2.3767193222680096
0.0,916452612,0.0,11.06,3.4264835164835166,3.425860272699196
0.0,300398465,0.0,9.69,1.6820879120879113,2.3907128255831593
0.0,824855114,0.0,5.86,1.7926666666666666,2.327980322286334
0.0,221139568AddedOffRampNode,0.27,7.24,1.5869230769230769,2.370602541603381
