timestep_time;vehicle_CO;vehicle_CO2;vehicle_HC;vehicle_NOx;vehicle_PMx;vehicle_angle;vehicle_eclass;vehicle_electricity;vehicle_fuel;vehicle_id;vehicle_lane;vehicle_noise;vehicle_pos;vehicle_route;vehicle_speed;vehicle_type;vehicle_waiting;vehicle_x;vehicle_y
8.00;0.00;0.00;0.00;0.00;0.00;250.20;HBEFA3/PC_G_EU4;0.00;0.00;veh1;:cluster_2113408277_212986801_6281867407_6356544243_#5more_0_1;60.65;12.23;!veh1!var#1;12.87;veh_passenger;0.00;23.748109;37.974865
8.00;135.63;4745.36;0.73;2.08;0.10;57.03;HBEFA3/PC_G_EU4;0.00;1513.57;veh10;23182833#1_0;67.11;12.23;!veh10!var#1;4.62;veh_passenger;0.00;23.737167;37.977499
8.00;148.31;3543.91;0.76;1.58;0.08;114.99;HBEFA3/PC_G_EU4;0.00;1130.38;veh11;909208929_0;66.02;7.21;!veh11!var#1;2.11;veh_passenger;0.00;23.727345;37.974966
8.00;147.54;3063.54;0.74;1.37;0.07;148.92;HBEFA3/PC_G_EU4;0.00;977.17;veh12;:97834703_4_0;63.32;0.88;!veh12!var#1;1.54;veh_passenger;0.00;23.724817;37.989137
8.00;4.87;2190.89;0.07;0.68;0.01;101.39;HBEFA3/PC_G_EU4;0.00;698.81;veh13;717094465#0_0;63.13;5.10;!veh13!var#1;11.87;veh_passenger;0.00;23.709308;37.978092
8.00;10.45;4040.51;0.15;1.27;0.06;191.35;HBEFA3/PC_G_EU4;0.00;1288.74;veh14;668697837#0_0;70.86;5.10;!veh14!var#1;24.03;veh_passenger;0.00;23.748082;37.990069
8.00;142.27;8770.74;0.86;3.80;0.18;76.85;HBEFA3/PC_G_EU4;0.00;2797.43;veh2;61072226#0_0;70.63;46.21;!veh2!var#1;11.63;veh_passenger;0.00;23.737472;37.988971
8.00;127.19;8691.71;0.79;3.71;0.18;189.39;HBEFA3/PC_G_EU4;0.00;2772.22;veh3;260124785#3_1;70.14;53.66;!veh3!var#1;13.50;veh_passenger;0.00;23.730357;37.988115
8.00;146.83;8525.83;0.87;3.71;0.18;291.96;HBEFA3/PC_G_EU4;0.00;2719.32;veh4;1033862865#1_0;70.76;2.08;!veh4!var#1;10.49;veh_passenger;0.00;23.711762;37.972058
8.00;0.00;0.00;0.00;0.00;0.00;5.45;HBEFA3/PC_G_EU4;0.00;0.00;veh5;-660260255#1_0;65.19;21.55;!veh5!var#1;18.39;veh_passenger;0.00;23.747773;37.972677
8.00;116.14;5765.57;0.67;2.47;0.11;77.10;HBEFA3/PC_G_EU4;0.00;1838.95;veh6;50033135#1_0;67.20;24.20;!veh6!var#1;7.88;veh_passenger;0.00;23.736658;37.989843
